ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_IDs,Type,Map_IDs
map_1,,,,,,,carling2025diacl,,map,
1,Aikanã,,,,aika1237,1750,carling2025diacl;titus,features,feature,map_1
2,Palikúr,,,,,1750,carling2025diacl;titus,features,feature,map_1
3,Baré,,,,,1750,carling2025diacl;titus,features,feature,map_1
4,Arawak,,,,,1750,carling2025diacl;titus,features,feature,map_1
5,Garifúna,,,,,1750,carling2025diacl;titus,features,feature,map_1
6,Paraujano,,,,,1750,carling2025diacl;titus,features,feature,map_1
7,Wayuu,,,,,1750,carling2025diacl;titus,features,feature,map_1
8,Wapishana,,,,,1750,carling2025diacl;titus,features,feature,map_1
9,Baniwa,,,,,1750,carling2025diacl;titus,features,feature,map_1
10,Achagua,,,,,1750,carling2025diacl;titus,features,feature,map_1
11,Piapoco,,,,,1750,carling2025diacl;titus,features,feature,map_1
12,Cauixána,,,,,1750,carling2025diacl;titus,features,feature,map_1
13,Machiguenga,,,,,1750,carling2025diacl;titus,features,feature,map_1
14,Nomatsiguenga,,,,,1750,carling2025diacl;titus,features,feature,map_1
15,Parecís,,,,,1750,carling2025diacl;titus,features,feature,map_1
16,Yawalapití,,,,,1750,carling2025diacl;titus,features,feature,map_1
17,Waurá,,,,,1750,carling2025diacl;titus,features,feature,map_1
18,Baure,,,,baur1253,1750,carling2025diacl;titus,features,feature,map_1
19,Ignaciano,,,,,1750,carling2025diacl;titus,features,feature,map_1
20,Terêna,,,,,1750,carling2025diacl;titus,features,feature,map_1
21,Apurinã,,,,,1750,carling2025diacl;titus,features,feature,map_1
22,Iñapari,,,,,1750,carling2025diacl;titus,features,feature,map_1
23,Yine,,,,,1750,carling2025diacl;titus,features,feature,map_1
24,Chamicuro,,,,,1750,carling2025diacl;titus,features,feature,map_1
25,Yanesha',,,,,1750,carling2025diacl;titus,features,feature,map_1
26,Atayal (Ci'uli),,,,atay1247,1750,carling2025diacl;titus,features,feature,map_1
27,Atayal (Squliq),,,,atay1247,1750,carling2025diacl;titus,features,feature,map_1
28,Seediq,,,,taro1264,1750,carling2025diacl;titus,features,feature,map_1
29,Bunun,,,,bunu1267,1750,carling2025diacl;titus,features,feature,map_1
30,Amis,,,,amis1246,1750,carling2025diacl;titus,features,feature,map_1
31,Yami,,,,yami1254,1750,carling2025diacl;titus,features,feature,map_1
32,Paiwan,,,,paiw1248,1750,carling2025diacl;titus,features,feature,map_1
33,Aymara,,,,,1750,carling2025diacl;titus,features,feature,map_1
34,Basque (East),,,,,1750,carling2025diacl;titus,features,feature,map_1
35,Basque (West),,,,,1750,carling2025diacl;titus,features,feature,map_1
36,Kuikúro-Kalapálo,,,,kuik1246,1750,carling2025diacl;titus,features,feature,map_1
37,Cayubaba,,,,cayu1262,1750,carling2025diacl;titus,features,feature,map_1
38,Chiquitano,,,,chiq1248,1750,carling2025diacl;titus,features,feature,map_1
39,Albanian (Tosk),,,,tosk1239,1750,carling2025diacl;titus,features,feature,map_1
40,Eastern Armenian,,,,nucl1235,1750,carling2025diacl;titus,features,feature,map_1
41,Latvian,,,,latv1249,1750,carling2025diacl;asher_moseley_2007,features,feature,map_1
42,Lithuanian,,,,lith1251,1750,carling2025diacl;titus,features,feature,map_1
43,Russian,,,,russ1263,1750,carling2025diacl;titus,features,feature,map_1
44,Ukrainian,,,,ukra1253,1750,carling2025diacl;titus,features,feature,map_1
45,Bulgarian,,,,bulg1262,1750,carling2025diacl;titus,features,feature,map_1
46,Croatian,,,,croa1245,1750,carling2025diacl;titus,features,feature,map_1
47,Serbian,,,,serb1264,1750,carling2025diacl;titus,features,feature,map_1
48,Slovene,,,,slov1268,1750,carling2025diacl;titus,features,feature,map_1
49,Czech,,,,czec1258,1750,carling2025diacl;titus,features,feature,map_1
50,Polish,,,,poli1260,1750,carling2025diacl;titus,features,feature,map_1
51,Upper Sorbian,,,,,1750,carling2025diacl;titus,features,feature,map_1
52,Breton,,,,bret1244,1750,carling2025diacl;titus,features,feature,map_1
53,Cornish,,,,corn1251,1750,carling2025diacl;titus,features,feature,map_1
54,Welsh,,,,wels1247,1750,carling2025diacl;titus,features,feature,map_1
55,Irish,,,,iris1253,1750,carling2025diacl;titus,features,feature,map_1
56,Scottish Gaelic,,,,scot1245,1750,carling2025diacl;titus,features,feature,map_1
57,Danish,,,,dani1285,1750,carling2025diacl;titus,features,feature,map_1
58,Elfdalian,,,,elfd1234,1750,carling2025diacl;titus,features,feature,map_1
59,Faroese,,,,faro1244,1750,carling2025diacl;titus,features,feature,map_1
60,Icelandic,,,,icel1247,1750,carling2025diacl;titus,features,feature,map_1
61,Norwegian,,,,norw1258,1750,carling2025diacl;titus,features,feature,map_1
62,Norwegian (Bokmål),,,,norw1259,1750,carling2025diacl;titus,features,feature,map_1
63,Norwegian (Nynorsk),,,,norw1262,1750,carling2025diacl;titus,features,feature,map_1
64,Swedish,,,,swed1254,1750,carling2025diacl;asher_moseley_2007;mml2015,features,feature,map_1
65,Dutch,,,,dutc1256,1750,carling2025diacl;titus,features,feature,map_1
66,English,,,,stan1293,1750,carling2025diacl;asher_moseley_2007,features,feature,map_1
67,Frisian,,,,west2354,1750,carling2025diacl;titus,features,feature,map_1
68,German,,,,stan1295,1750,carling2025diacl;titus,features,feature,map_1
69,Low German,,,,nort2627,1750,carling2025diacl;titus,features,feature,map_1
70,Swiss German,,,,swis1247,1750,carling2025diacl;titus,features,feature,map_1
71,Yiddish,,,,east2295,1750,carling2025diacl;titus,features,feature,map_1
72,Modern Greek,,,,mode1248,1750,carling2025diacl;asher_moseley_2007,features,feature,map_1
73,Hindi,,,,hind1269,1750,carling2025diacl;titus,features,feature,map_1
74,Urdu,,,,,1750,carling2025diacl;titus,features,feature,map_1
75,Kumaoni,,,,kuma1273,1750,carling2025diacl;titus,features,feature,map_1
76,Rajasthani,,,,raja1256,1750,carling2025diacl;titus,features,feature,map_1
77,Punjabi,,,,panj1256,1750,carling2025diacl;titus,features,feature,map_1
78,Assamese,,,,assa1263,1750,carling2025diacl;titus,features,feature,map_1
79,Bengali,,,,beng1280,1750,carling2025diacl;titus,features,feature,map_1
80,Maithili,,,,mait1250,1750,carling2025diacl;titus,features,feature,map_1
81,Nepali,,,,nepa1254,1750,carling2025diacl;titus,features,feature,map_1
82,Kashmiri,,,,kash1277,1750,carling2025diacl;titus,features,feature,map_1
83,Khowar,,,,khow1242,1750,carling2025diacl;titus,features,feature,map_1
84,Lahnda,,,,west2386,1750,carling2025diacl;titus,features,feature,map_1
85,Sindhi,,,,sind1272,1750,carling2025diacl;titus,features,feature,map_1
86,Maldivian,,,,dhiv1236,1750,carling2025diacl;titus,features,feature,map_1
87,Sinhalese,,,,sinh1246,1750,carling2025diacl;titus,features,feature,map_1
88,Konkani,,,,konk1267,1750,carling2025diacl;titus,features,feature,map_1
89,Marathi,,,,mara1378,1750,carling2025diacl;titus,features,feature,map_1
90,Gujarati,,,,guja1252,1750,carling2025diacl;titus,features,feature,map_1
91,Ossetian (Iron),,,,iron1242,1750,carling2025diacl;titus,features,feature,map_1
92,Pashto,,,,nucl1276,1750,carling2025diacl;titus,features,feature,map_1
93,Shughni,,,,shug1248,1750,carling2025diacl;titus,features,feature,map_1
94,Wakhi,,,,wakh1245,1750,carling2025diacl;titus,features,feature,map_1
95,Yagnobi,,,,yagn1238,1750,carling2025diacl;titus,features,feature,map_1
96,Baluchi,,,,sout2642,1750,carling2025diacl;titus,features,feature,map_1
97,Gilaki,,,,gila1241,1750,carling2025diacl;titus,features,feature,map_1
98,Kurdish (Kurmanji),,,,nort2641,1750,carling2025diacl;titus,features,feature,map_1
99,Kurdish (Sorani),,,,cent1972,1750,carling2025diacl;titus,features,feature,map_1
100,Parachi,,,,para1299,1750,carling2025diacl;titus,features,feature,map_1
101,Persian,,,,west2369,1750,carling2025diacl;titus,features,feature,map_1
102,Tajik,,,,taji1245,1750,carling2025diacl;titus,features,feature,map_1
103,Talysh,,,,taly1247,1750,carling2025diacl;titus,features,feature,map_1
104,Ashkun,,,,ashk1246,1750,carling2025diacl;titus,features,feature,map_1
105,Kati,,,,kati1270,1750,carling2025diacl;titus,features,feature,map_1
106,Prasun,,,,pras1239,1750,carling2025diacl;titus,features,feature,map_1
107,Tregami,,,,treg1243,1750,carling2025diacl;titus,features,feature,map_1
108,Waigali,,,,waig1243,1750,carling2025diacl;titus,features,feature,map_1
109,Catalan,,,,stan1289,1750,carling2025diacl;titus,features,feature,map_1
110,French,,,,stan1290,1750,carling2025diacl;titus,features,feature,map_1
111,Friulian,,,,friu1240,1750,carling2025diacl;titus,features,feature,map_1
112,Italian,,,,ital1282,1750,carling2025diacl;titus,features,feature,map_1
113,Ladin,,,,ladi1250,1750,carling2025diacl;titus,features,feature,map_1
114,Occitan,,,,occi1239,1750,carling2025diacl;titus,features,feature,map_1
115,Portuguese,,,,port1283,1750,carling2025diacl;asher_moseley_2007,features,feature,map_1
116,Provençal,,,,occi1239,1750,carling2025diacl;titus,features,feature,map_1
117,Romanian,,,,roma1327,1750,carling2025diacl;titus,features,feature,map_1
118,Romansh,,,,roma1326,1750,carling2025diacl;bfs2005,features,feature,map_1
119,Sardinian,,,,logu1236,1750,carling2025diacl;titus,features,feature,map_1
120,Spanish,,,,stan1288,1750,carling2025diacl;titus,features,feature,map_1
121,Walloon,,,,wall1255,1750,carling2025diacl;titus,features,feature,map_1
122,Itonama,,,,iton1250,1750,carling2025diacl;titus,features,feature,map_1
123,Jabutí,,,,djeo1235,1750,carling2025diacl;titus,features,feature,map_1
124,Xokleng,,,,xokl1240,1750,carling2025diacl;titus,features,feature,map_1
125,Georgian,,,,nucl1302,1750,carling2025diacl;titus,features,feature,map_1
126,Svan,,,,svan1243,1750,carling2025diacl;titus,features,feature,map_1
127,Laz,,,,lazz1240,1750,carling2025diacl;titus,features,feature,map_1
128,Megrelian,,,,ming1252,1750,carling2025diacl;titus,features,feature,map_1
129,Kwaza,,,,kwaz1243,1750,carling2025diacl;titus,features,feature,map_1
130,Leko,,,,leco1242,1750,carling2025diacl;titus,features,feature,map_1
131,Mosetén,,,,mose1249,1750,carling2025diacl;titus,features,feature,map_1
132,Movima,,,,movi1243,1750,carling2025diacl;titus,features,feature,map_1
133,Mamaindé,,,,mama1278,1750,carling2025diacl;titus,features,feature,map_1
134,Sabané,,,,saba1268,1750,carling2025diacl;titus,features,feature,map_1
135,Batsbi,,,,bats1242,1750,carling2025diacl;titus,features,feature,map_1
136,Chechen,,,,chec1245,1750,carling2025diacl;titus,features,feature,map_1
137,Kryz,,,,kryt1240,1750,carling2025diacl;titus,features,feature,map_1
138,Lezgian,,,,lezg1247,1750,carling2025diacl;titus,features,feature,map_1
139,Khwarshi,,,,khva1239,1750,carling2025diacl;titus,features,feature,map_1
140,Kabardian,,,,kaba1278,1750,carling2025diacl;titus,features,feature,map_1
141,Chácobo,,,,chac1251,1750,carling2025diacl;titus,features,feature,map_1
142,Kashinawá,,,,cash1254,1750,carling2025diacl;titus,features,feature,map_1
143,Cavineña,,,,cavi1250,1750,carling2025diacl;titus,features,feature,map_1
144,Karitiâna,,,,kari1311,1750,carling2025diacl;titus,features,feature,map_1
145,Aruá,,,,arua1261,1750,carling2025diacl;titus,features,feature,map_1
146,Cinta Larga,,,,cint1239,1750,carling2025diacl;titus,features,feature,map_1
147,Suruí Paitér,,,,suru1262,1750,carling2025diacl;titus,features,feature,map_1
148,Puruborá,,,,puru1264,1750,carling2025diacl;titus,features,feature,map_1
149,Awetí,,,,,1750,carling2025diacl;titus,features,feature,map_1
150,Jurúna,,,,,1750,carling2025diacl;titus,features,feature,map_1
151,Sateré-Mawé,,,,,1750,carling2025diacl;titus,features,feature,map_1
152,Kuruáya,,,,,1750,carling2025diacl;titus,features,feature,map_1
153,Mundurukú,,,,,1750,carling2025diacl;titus,features,feature,map_1
154,Guaraní (Avá),,,,,1750,carling2025diacl;titus,features,feature,map_1
155,Guaraní (Eastern Bolivian),,,,,1750,carling2025diacl;titus,features,feature,map_1
156,Guaraní (Mbyá),,,,,1750,carling2025diacl;titus,features,feature,map_1
157,Guaraní (Paraguayan),,,,,1750,carling2025diacl;titus,features,feature,map_1
158,Kaiwá,,,,,1750,carling2025diacl;titus,features,feature,map_1
159,Tapiete,,,,,1750,carling2025diacl;titus,features,feature,map_1
160,Guarayó,,,,,1750,carling2025diacl;titus,features,feature,map_1
161,Sirionó,,,,,1750,carling2025diacl;titus,features,feature,map_1
162,Emerillon,,,,,1750,carling2025diacl;titus,features,feature,map_1
163,Urubú-Ka'apór,,,,,1750,carling2025diacl;titus,features,feature,map_1
164,Wayampi do Amapari,,,,,1750,carling2025diacl;titus,features,feature,map_1
