ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Feature_IDs,Glottolog_Languoid_Level,Family,Speaker_Area
chem1251,Chemehuevi,,35.356093,-116.438436,chem1251,,918,dialect,Uto-Aztecan,dialects
croa1245,Croatian Standard,,45.555,15.982,croa1245,,46,dialect,Indo-European,dialects
east2821,Eastern Herzegovinian Shtokavian,,,,east2821,,46 47,dialect,Indo-European,dialects
elfd1234,Elfdalian,,,,elfd1234,,58,dialect,Indo-European,dialects
kuru1302,Indian Kurux,,24.4644,86.4657,kuru1302,,218,dialect,Dravidian,dialects
maip1246,Maipure,,4.8,-67.5,maip1246,,446,dialect,Arawakan,dialects
news1236,New Shtokavian,,,,news1236,,46 47,dialect,Indo-European,dialects
norw1259,Norwegian Bokmål,,61.112,8.886,norw1259,,62,dialect,Indo-European,dialects
norw1262,Norwegian Nynorsk,,,,norw1262,,63,dialect,Indo-European,dialects
oste1242,Österdalarna,,,,oste1242,,58,dialect,Indo-European,dialects
ovan1234,Ovansiljan,,,,ovan1234,,58,dialect,Indo-European,dialects
serb1264,Serbian Standard,,44.3238,21.9192,serb1264,,47,dialect,Indo-European,dialects
shto1241,Shtokavski,,,,shto1241,,46 47,dialect,Indo-European,dialects
sout2969,Southern Paiute,,37.0,-114.0,sout2969,,917,dialect,Uto-Aztecan,dialects
utee1244,Ute,,38.0,-109.0,utee1244,,919,dialect,Uto-Aztecan,dialects
yaqu1250,Yaquina,,,,yaqu1250,,904,dialect,Alsea-Yaquina,dialects
abaz1241,Abaza,,44.25,42.0,abaz1241,,195,language,Abkhaz-Adyge,languages
abro1238,Abron,,7.72094,-2.50289,abro1238,,377,language,Atlantic-Congo,languages
achi1256,Achi,,15.073,-90.3513,achi1256,,869,language,Mayan,languages
achu1247,Achumawi,,41.0979,-121.191,achu1247,,702,language,Palaihnihan,languages
adyg1241,West Circassian,,44.0,39.33,adyg1241,,189,language,Abkhaz-Adyge,languages
afar1241,Afar,,12.2281,41.8083,afar1241,,250,language,Afro-Asiatic,languages
afri1274,Afrikaans,,-31.63272,20.46356,afri1274,,262,language,Indo-European,languages
aghu1253,Aghul,,41.9242,47.5843,aghu1253,,204,language,Nakh-Daghestanian,languages
agua1252,Aguacateco,,15.3307,-91.3153,agua1252,,535,language,Mayan,languages
agua1253,Aguaruna,,-5.30044,-77.9218,agua1253,,520,language,Chicham,languages
ahte1237,Ahtena,,61.7068,-144.889,ahte1237,,874,language,Athabaskan-Eyak-Tlingit,languages
aika1237,Aikanã,,-12.6695,-60.5353,aika1237,,1,language,,languages
akan1250,Akan,,6.34756,-1.33254,akan1250,,378,language,Atlantic-Congo,languages
alab1237,Alabama,,30.76738,-94.62848,alab1237,,593,language,Muskogean,languages
alag1248,Alagwa,,-4.64148,35.7231,alag1248,,258,language,Afro-Asiatic,languages
aleu1260,Aleut,,52.1228,-174.29,aleu1260,,678,language,Eskimo-Aleut,languages
algo1255,Algonquin,,47.3876,-77.5258,algo1255,,418,language,Algic,languages
alse1251,Alsea-Yaquina,,44.408,-123.94,alse1251,,894 904,language,,languages
amah1246,Amahuaca,,-10.2012,-72.3208,amah1246,,561,language,Pano-Tacanan,languages
amha1245,Amharic,,11.708182,39.543456,amha1245,,255,language,Afro-Asiatic,languages
amis1246,Amis,,23.0917,121.348,amis1246,,30,language,Austronesian,languages
andi1255,Andi,,42.8078,46.2919,andi1255,,197,language,Nakh-Daghestanian,languages
ando1254,Andoquero,,-0.666992,-72.310867,ando1254,,772,language,Huitotoan,languages
anyi1245,Anyin,,6.31781,-3.30532,anyi1245,,379,language,Atlantic-Congo,languages
apal1237,Apalachee,,30.118,-84.416,apal1237,,594,language,Muskogean,languages
apal1257,Apalaí,,1.49792,-54.7457,apal1257,,643,language,Cariban,languages
apin1244,Apinayé,,-6.10774,-47.6315,apin1244,,524,language,Nuclear-Macro-Je,languages
apol1242,Apolista,,-14.83,-68.66,apol1242,,782,language,Arawakan,languages
arai1239,Araicu,,-3.104315,-67.2052,arai1239,,787,language,Arawakan,languages
arao1248,Araona,,-12.4242,-67.7293,arao1248,,562,language,Pano-Tacanan,languages
arhu1242,Arhuaco,,10.7018,-73.6363,arhu1242,,658,language,Chibchan,languages
arik1262,Arikara,,45.0,-100.0,arik1262,,637,language,Caddoan,languages
arua1261,Aruá (Rondonia State),,-12.1186,-62.4357,arua1261,,145,language,Tupian,languages
arua1264,Aruan,,-0.608631,-50.123291,arua1264,,783,language,Arawakan,languages
ashk1246,Ashkun,,35.10699,70.542035,ashk1246,,104,language,Indo-European,languages
assa1263,Assamese,,26.0876,91.2932,assa1263,,78,language,Indo-European,languages
assi1247,Assiniboine,,49.2923,-106.068,assi1247,,450,language,Siouan,languages
atay1247,Atayal,,24.5209,121.388,atay1247,,26 27,language,Austronesian,languages
atik1240,Atikamekw,,47.9555,-73.7989,atik1240,,419,language,Algic,languages
avar1256,Avar,,41.7047,46.558,avar1256,,196,language,Nakh-Daghestanian,languages
awac1239,Awa-Cuaiquer,,1.21652,-78.3401,awac1239,,556,language,Barbacoan,languages
awut1241,Awutu,,5.42441,-0.59545,awut1241,,380,language,Atlantic-Congo,languages
ayor1240,Ayoreo,,-19.220055,-60.217495,ayor1240,,703,language,Zamucoan,languages
baat1238,Baatonum,,9.63186,2.99607,baat1238,,363,language,Atlantic-Congo,languages
babi1235,Witsuwit'en-Babine,,55.0997,-126.41,babi1235,,600,language,Athabaskan-Eyak-Tlingit,languages
bagi1246,Bagirmi,,11.52392,14.769495,bagi1246,,653,language,Central Sudanic,languages
baka1277,Bakairí,,-14.2628,-54.7034,baka1277,,754,language,Cariban,languages
bakw1243,Bakwé,,5.23123,-6.51077,bakw1243,,984,language,Kru,languages
bamb1269,Bambara,,12.9,-7.65,bamb1269,,288,language,Mande,languages
bamu1253,Bamun,,5.49017,10.8477,bamu1253,,402,language,Atlantic-Congo,languages
band1352,Bandi,,7.73729,-10.1684,band1352,,289,language,Mande,languages
baou1238,Baoulé,,5.42509,-4.76565,baou1238,,381,language,Atlantic-Congo,languages
barb1263,Barbareño,,34.462,-119.699,barb1263,,689,language,Chumashan,languages
bari1297,Barí,,9.08497,-72.9353,bari1297,,659,language,Chibchan,languages
bash1264,Bashkir,,53.59671,56.55937,bash1264,,235,language,Turkic,languages
bata1314,Bata,,9.68091,12.677,bata1314,,1018,language,Afro-Asiatic,languages
bats1242,Bats,,42.1806,45.344,bats1242,,135,language,Nakh-Daghestanian,languages
baur1253,Baure,,-13.61,-63.68,baur1253,,18,language,Arawakan,languages
beav1236,Beaver,,56.7984,-120.352,beav1236,,601,language,Athabaskan-Eyak-Tlingit,languages
beja1238,Beja,,17.2436,36.6666,beja1238,,254,language,Afro-Asiatic,languages
bell1243,Bella Coola,,52.3448,-126.689,bell1243,,573,language,Salishan,languages
bemb1257,Bemba (Zambia),,-10.6122,29.2993,bemb1257,,332,language,Atlantic-Congo,languages
bena1262,Bena (Tanzania),,-9.26671,35.0364,bena1262,,312,language,Atlantic-Congo,languages
beng1280,Bengali,,24.0,90.0,beng1280,,79,language,Indo-European,languages
beot1247,Beothuk,,48.0,-57.0,beot1247,,872,language,,languages
bezh1248,Bezhta,,42.1206,46.0332,bezh1248,,192,language,Nakh-Daghestanian,languages
bhoj1244,Bhojpuri,,26.458455,84.817115,bhoj1244,,263,language,Indo-European,languages
bimo1239,Bimoba,,10.4575,0.06121,bimo1239,,364,language,Atlantic-Congo,languages
bini1246,Bini,,6.40701,5.70426,bini1246,,280,language,Atlantic-Congo,languages
biss1248,Bissa,,10.4257,-1.67332,biss1248,,290,language,Mande,languages
boko1261,Bokoto,,4.75111,16.6721,boko1261,,1015,language,Atlantic-Congo,languages
bomu1247,Bomu,,12.3816,-4.538,bomu1247,,1012,language,Atlantic-Congo,languages
bond1246,Bondoukou Kulango,,7.85945,-2.87379,bond1246,,994,language,Atlantic-Congo,languages
bond1247,Bondei,,-5.10749,38.5079,bond1247,,313,language,Atlantic-Congo,languages
bora1263,Bora,,-2.000259,-72.257066,bora1263,,704,language,Boran,languages
boro1282,Bororo,,-16.6029,-55.2004,boro1282,,705,language,Bororoan,languages
boun1243,Bouna Kulango,,8.46011,-2.74627,boun1243,,995,language,Atlantic-Congo,languages
bouy1240,Bouyei,,24.8484,106.187,bouy1240,,406,language,Tai-Kadai,languages
bret1244,Breton,,48.2452,-3.78934,bret1244,,52,language,Indo-European,languages
brib1243,Bribri,,9.39794,-83.0539,brib1243,,854,language,Chibchan,languages
budu1248,Budukh,,41.2272,48.3353,budu1248,,194,language,Nakh-Daghestanian,languages
budu1265,Buduma,,13.0692,14.4492,budu1265,,1001,language,Afro-Asiatic,languages
bugl1243,Buglere,,8.57695,-81.25648,bugl1243,,852,language,Chibchan,languages
bulg1262,Bulgarian,,43.3646,25.047,bulg1262,,45,language,Indo-European,languages
buli1254,Buli (Ghana),,10.5763,-1.26748,buli1254,,365,language,Atlantic-Congo,languages
bunu1267,Bunun,,23.4116,121.025,bunu1267,,29,language,Austronesian,languages
bura1292,Bura-Pabir,,10.4822,12.3007,bura1292,,248,language,Afro-Asiatic,languages
buru1296,Burushaski,,36.2161,74.8236,buru1296,,706,language,,languages
buru1320,Burunge,,-5.21369,35.963,buru1320,,1038,language,Afro-Asiatic,languages
busa1253,Busa,,9.91074,4.39929,busa1253,,291,language,Mande,languages
cabe1245,Cabécar,,9.67031,-83.4102,cabe1245,,660,language,Chibchan,languages
cadd1256,Caddo,,33.33,-93.5,cadd1256,,638,language,Caddoan,languages
cahu1264,Cahuilla,,33.5324,-116.691,cahu1264,,470,language,Uto-Aztecan,languages
call1235,Callawalla,,-15.88451,-68.10176,call1235,,720,language,Speech Register,languages
cane1242,Central-Southern Timbira,,-6.10712,-45.1299,cane1242,,525,language,Nuclear-Macro-Je,languages
caro1243,Carolina Algonquian,,35.979,-77.291,caro1243,,922,language,Algic,languages
carr1249,Central Carrier,,54.3768,-124.328,carr1249,,602,language,Athabaskan-Eyak-Tlingit,languages
cash1251,Cashibo-Cacataibo,,-8.70232,-75.4206,cash1251,,563,language,Pano-Tacanan,languages
cash1254,Cashinahua,,-9.72027,-71.1733,cash1254,,142,language,Pano-Tacanan,languages
cata1286,Catawba,,34.9685,-80.8857,cata1286,,451,language,Siouan,languages
cavi1250,Cavineña,,-13.3544,-66.6277,cavi1250,,143,language,Pano-Tacanan,languages
cayu1261,Cayuga,,42.41,-76.5969,cayu1261,,509,language,Iroquoian,languages
cayu1262,Cayubaba,,-13.2482,-65.4822,cayu1262,,37,language,,languages
cent1972,Central Kurdish,,35.6539,45.8077,cent1972,,99,language,Indo-European,languages
cent2050,Central Kanuri,,11.8,13.13,cent2050,,632,language,Saharan,languages
cent2127,Central Alaskan Yupik,,60.3062,-161.486,cent2127,,679,language,Eskimo-Aleut,languages
cent2131,Central Tarahumara,,27.5648,-107.154,cent2131,,471,language,Uto-Aztecan,languages
cent2132,Tlaxcala-Puebla-Central Nahuatl,,19.1248,-98.3002,cent2132,,492,language,Uto-Aztecan,languages
cent2136,Central Ojibwa,,46.5741,-84.1543,cent2136,,420,language,Algic,languages
cent2144,Central Mazahua,,19.7357,-100.018,cent2144,,863,language,Otomanguean,languages
cent2150,Central Tunebo,,6.8867,-72.097,cent2150,,661,language,Chibchan,languages
chac1249,Cha'palaa,,0.71489,-79.0508,chac1249,,557,language,Barbacoan,languages
chac1251,Chácobo,,-12.133,-66.7164,chac1251,,141,language,Pano-Tacanan,languages
chak1271,Chakali,,9.83446,-1.90181,chak1271,,390,language,Atlantic-Congo,languages
char1240,Charrúa,,-34.9,-56.16,char1240,,726,language,Charruan,languages
chay1248,Shawi,,-5.63764,-76.8252,chay1248,,642,language,Cahuapanan,languages
chec1245,Chechen,,43.5,45.5,chec1245,,136,language,Nakh-Daghestanian,languages
cher1273,Cherokee,,35.4664,-83.163,cher1273,,510,language,Iroquoian,languages
chey1247,Cheyenne,,45.5321,-106.659,chey1247,,421,language,Algic,languages
chic1270,Chickasaw,,34.0,-88.0,chic1270,,595,language,Muskogean,languages
chil1280,Chilcotin-Nicola,,51.98952,-123.24458,chil1280,,603,language,Athabaskan-Eyak-Tlingit,languages
chim1310,Chimakum,,47.91457,-123.139145,chim1310,,665,language,Chimakuan,languages
chin1286,Clatsop-Shoalwater Chinook,,46.39132,-123.9249,chin1286,,667,language,Chinookan,languages
chip1261,Chipewyan,,58.98,-104.44,chip1261,,604,language,Athabaskan-Eyak-Tlingit,languages
chiq1248,Lomeriano-Ignaciano Chiquitano,,-16.769554,-61.817795,chiq1248,,38,language,Chiquitano,languages
choc1276,Choctaw,,32.25,-88.5,choc1276,,596,language,Muskogean,languages
chol1282,Chol,,17.4897,-92.4698,chol1282,,536,language,Mayan,languages
chor1273,Ch'orti',,14.818,-89.2363,chor1273,,537,language,Mayan,languages
chuk1273,Chukchi,,68.6436,170.045,chuk1273,,672,language,Chukotko-Kamchatkan,languages
chum1261,Chumburung,,8.15211,-0.2755,chum1261,,382,language,Atlantic-Congo,languages
chuv1255,Chuvash,,55.48701,47.16298,chuv1255,,236,language,Turkic,languages
cint1239,Cinta Larga,,-10.5879,-60.8312,cint1239,,146,language,Tupian,languages
clal1241,Clallam,,48.0707,-123.511,clal1241,,574,language,Salishan,languages
clas1250,Classical Nahuatl,,19.72,-96.97,clas1250,,472,language,Uto-Aztecan,languages
coas1301,Coast Miwok,,38.3285,-122.994,coas1301,,567,language,Miwok-Costanoan,languages
coat1238,Coatlán Mixe,,16.9404,-95.4659,coat1238,,553,language,Mixe-Zoque,languages
coch1272,Cochimi,,29.04,-114.077,coch1272,,692,language,Cochimi-Yuman,languages
coco1261,Cocopa,,32.376,-114.848,coco1261,,693,language,Cochimi-Yuman,languages
cogu1240,Cogui,,10.9485,-73.8043,cogu1240,,738,language,Chibchan,languages
colo1256,Tsafiki,,-0.21181,-79.2347,colo1256,,558,language,Barbacoan,languages
colu1241,Columbia-Wenatchi,,48.217,-118.454,colu1241,,575,language,Salishan,languages
coma1245,Comanche,,34.0,-101.0,coma1245,,473,language,Uto-Aztecan,languages
como1259,Comox,,49.7233,-124.967,como1259,,576,language,Salishan,languages
coos1249,Hanis,,43.4413,-124.16,coos1249,,673,language,Coosan,languages
copa1236,Central-South Chiapas Zoque,,17.2157,-93.3183,copa1236,,554,language,Mixe-Zoque,languages
copt1239,Coptic,,29.472,31.2053,copt1239,,253,language,Afro-Asiatic,languages
corn1251,Cornish,,50.5233,-4.18619,corn1251,,53,language,Indo-European,languages
coro1249,Coroado-Puri,,-20.264033,-43.612003,coro1249,,811,language,Puri-Coroado,languages
cowl1242,Cowlitz,,46.4167,-122.917,cowl1242,,577,language,Salishan,languages
cree1270,Creek,,31.0,-87.5,cree1270,,597,language,Muskogean,languages
crim1257,Crimean Tatar,,45.0,34.08,crim1257,,201,language,Turkic,languages
crow1244,Crow,,45.368,-107.874,crow1244,,452,language,Siouan,languages
cruz1243,Cruzeño,,34.0465,-119.864,cruz1243,,896,language,Chumashan,languages
cube1242,Cubeo,,1.32382,-70.1939,cube1242,,465,language,Tucanoan,languages
cuib1242,Cuiba,,6.19829,-69.8197,cuib1242,,685,language,Guahiboan,languages
culi1244,Culina,,-8.55268,-70.6648,culi1244,,447,language,Arawan,languages
cull1235,Culli,,-7.878618,-78.116456,cull1235,,826,language,,languages
curr1243,Curripaco,,0.69618,-67.5028,curr1243,,445,language,Arawakan,languages
cusc1236,Cusco Quechua,,-14.0853,-71.7663,cusc1236,,571,language,Quechuan,languages
czec1258,Czech,,49.873398,15.10437,czec1258,,49,language,Indo-European,languages
