id,name,glottocode,year,map_name_full,sources
5,Latvian,latv1249,1750,,asher_moseley_2007
24,Swedish,swed1254,1750,,asher_moseley_2007 mml2015
26,English,stan1293,1750,,asher_moseley_2007
31,Modern Greek,mode1248,1750,,asher_moseley_2007
37,Portuguese,port1283,1750,,asher_moseley_2007
40,Romansh,roma1326,1750,,bfs2005
56,Bhili,,1750,,titus
57,Basque (East),,1750,,titus
58,Basque (West),,1750,,titus
59,Albanian (Tosk),tosk1239,1750,,titus
60,Eastern Armenian,nucl1235,1750,,titus
61,Latvian,latv1249,1750,,titus
62,Lithuanian,lith1251,1750,,titus
63,Russian,russ1263,1750,,titus
64,Ukrainian,ukra1253,1750,,titus
65,Bulgarian,bulg1262,1750,,titus
66,Croatian,croa1245,1750,,titus
67,Serbian,serb1264,1750,,titus
68,Slovene,slov1268,1750,,titus
69,Czech,czec1258,1750,,titus
70,Polish,poli1260,1750,,titus
71,Upper Sorbian,,1750,,titus
72,Breton,bret1244,1750,,titus
73,Cornish,corn1251,1750,,titus
74,Welsh,wels1247,1750,,titus
75,Irish,iris1253,1750,,titus
76,Scottish Gaelic,scot1245,1750,,titus
77,Danish,dani1285,1750,,titus
78,Elfdalian,elfd1234,1750,,titus
79,Faroese,faro1244,1750,,titus
80,Icelandic,icel1247,1750,,titus
81,Norwegian,norw1258,1750,,titus
82,Norwegian (Bokmål),norw1259,1750,,titus
83,Norwegian (Nynorsk),norw1262,1750,,titus
84,Dutch,dutc1256,1750,,titus
86,Frisian,west2354,1750,,titus
87,German,stan1295,1750,,titus
88,Low German,nort2627,1750,,titus
89,Swiss German,swis1247,1750,,titus
90,Yiddish,east2295,1750,,titus
92,Urdu,,1750,,titus
93,Kumaoni,kuma1273,1750,,titus
94,Rajasthani,raja1256,1750,,titus
96,Nepali,nepa1254,1750,,titus
97,Kashmiri,kash1277,1750,,titus
98,Punjabi,panj1256,1750,,titus
99,Assamese,assa1263,1750,,titus
100,Bengali,beng1280,1750,,titus
101,Maithili,mait1250,1750,,titus
102,Khowar,khow1242,1750,,titus
103,Lahnda,west2386,1750,,titus
104,Sindhi,sind1272,1750,,titus
105,Maldivian,dhiv1236,1750,,titus
106,Sinhalese,sinh1246,1750,,titus
107,Konkani,konk1267,1750,,titus
108,Marathi,mara1378,1750,,titus
109,Gujarati,guja1252,1750,,titus
110,Ossetian (Iron),iron1242,1750,,titus
111,Pashto,nucl1276,1750,,titus
112,Shughni,shug1248,1750,,titus
113,Wakhi,wakh1245,1750,,titus
